title,number,additions,deletions,changedFiles,body,comments,participants,createdAt,closedAt,mergedAt,bodyCharNumber,analysisTime
Add a clear error when renderers clash in tests,12867,24,5,1,"@bvaughn mentioned the error messages after https://github.com/facebook/react/pull/12792#discussion_r189394188 are quite confusing when you use several renderers in one file and forget to [reset modules](https://github.com/facebook/react/blob/397d6115b7a09f92d4df49ded6e412b5e7ddd859/packages/react-art/src/__tests__/ReactART-test.js#L22-L23):

<img width=""937"" alt=""screen shot 2018-05-19 at 22 15 53"" src=""https://user-images.githubusercontent.com/810438/40273133-8f05d9d0-5bb2-11e8-852a-2d879c8f920b.png"">


(Seemingly unrelated, the code frame location doesn't look right.. We'll need to fix that but that's irrelevant to this problem.)

With this fix:

<img width=""672"" alt=""screen shot 2018-05-19 at 22 18 54"" src=""https://user-images.githubusercontent.com/810438/40273134-a5bde168-5bb2-11e8-9227-9b20402f0278.png"">

Tests pass.",0,4,2018-05-19T21:19:34Z,2018-05-21T14:38:36Z,2018-05-21T14:38:36Z,845,1 days 17:19:02
"Treat Rollup ""warnings"" as errors",12868,14,5,1,"Rollup has a bunch of warnings (like unresolved import, or different values for the same export) which really are errors in the sense that we never want them in our code. However, plugins also use the same system for stuff that isn't as important (e.g. Babel helpers duplication).

Now that we rely on ES modules more heavily, I'm making Rollup's own warnings fail the build. This ensures we can't miss a regression like this in the console output, but can still ignore warnings from plugins.",0,3,2018-05-19T21:50:09Z,2018-05-21T14:38:46Z,2018-05-21T14:38:46Z,494,1 days 16:48:37
Fix react native example links in README of 'react-reconciler',12871,1,1,1,Fixes #12870,1,3,2018-05-20T01:15:16Z,2018-05-20T11:01:01Z,2018-05-20T11:01:01Z,12,0 days 09:45:45
Fix a regression that caused us to listen to extra events at the top,12878,200,22,3,"I think this should fix the regression introduced in https://github.com/facebook/react/pull/12629 and that @sophiebits has patched over in https://github.com/facebook/react/pull/12877.

The first three commits are small refactors (I can remove them but I found the final form easier to read with these changes). The last one fixes the logic.

I'll need to work on some way to test this and verify it’s correct. Here’s the methodology with which I arrived at this solution:

1. Take a list of [all DOM event types in master](https://github.com/facebook/react/blob/master/packages/react-dom/src/events/DOMTopLevelEventTypes.js)

2. For each type, record whether it exists [in either of two mappings that were deleted in #12629](https://github.com/facebook/react/blob/1047980dca0830cd55e1622f3fbefc38aeaadb91/packages/react-dom/src/events/BrowserEventConstants.js): `topLevelTypes` or `mediaEventTypes`. Some types were new in master (pointer events) which I treat as if they were in `topLevelTypes`.

After doing this categorization, I ended up with four lists:

### NOT top AND NOT media

* `TOP_INVALID`
* `TOP_RESET`
* `TOP_SUBMIT`

### NOT top AND media

* `TOP_ABORT`
* `TOP_CAN_PLAY`
* `TOP_CAN_PLAY_THROUGH`
* `TOP_DURATION_CHANGE`
* `TOP_EMPTIED`
* `TOP_ENCRYPTED`
* `TOP_ENDED`
* `TOP_ERROR`
* `TOP_LOADED_DATA`
* `TOP_LOADED_METADATA`
* `TOP_PAUSE`
* `TOP_PLAY`
* `TOP_PLAYING`
* `TOP_PROGRESS`
* `TOP_RATE_CHANGE`
* `TOP_SEEKED`
* `TOP_SEEKING`
* `TOP_STALLED`
* `TOP_SUSPEND`
* `TOP_TIME_UPDATE`
* `TOP_VOLUME_CHANGE`
* `TOP_WAITING`

### top AND media

* `TOP_LOAD_START`

### top AND NOT media

* `TOP_ANIMATION_END`
* `TOP_ANIMATION_ITERATION`
* `TOP_ANIMATION_START`
* `TOP_BLUR`
* `TOP_CANCEL`
* `TOP_CHANGE`
* `TOP_CLICK`
* `TOP_CLOSE`
* `TOP_COMPOSITION_END`
* `TOP_COMPOSITION_START`
* `TOP_COMPOSITION_UPDATE`
* `TOP_CONTEXT_MENU`
* `TOP_COPY`
* `TOP_CUT`
* `TOP_DOUBLE_CLICK`
* `TOP_DRAG`
* `TOP_DRAG_END`
* `TOP_DRAG_ENTER`
* `TOP_DRAG_EXIT`
* `TOP_DRAG_LEAVE`
* `TOP_DRAG_OVER`
* `TOP_DRAG_START`
* `TOP_DROP`
* `TOP_FOCUS`
* `TOP_GOT_POINTER_CAPTURE`
* `TOP_INPUT`
* `TOP_KEY_DOWN`
* `TOP_KEY_PRESS`
* `TOP_KEY_UP`
* `TOP_LOAD`
* `TOP_LOST_POINTER_CAPTURE`
* `TOP_MOUSE_DOWN`
* `TOP_MOUSE_MOVE`
* `TOP_MOUSE_OUT`
* `TOP_MOUSE_OVER`
* `TOP_MOUSE_UP`
* `TOP_PASTE`
* `TOP_POINTER_CANCEL`
* `TOP_POINTER_DOWN`
* `TOP_POINTER_ENTER`
* `TOP_POINTER_LEAVE`
* `TOP_POINTER_MOVE`
* `TOP_POINTER_OUT`
* `TOP_POINTER_OVER`
* `TOP_POINTER_UP`
* `TOP_SCROLL`
* `TOP_SELECTION_CHANGE`
* `TOP_TEXT_INPUT`
* `TOP_TOGGLE`
* `TOP_TOUCH_CANCEL`
* `TOP_TOUCH_END`
* `TOP_TOUCH_MOVE`
* `TOP_TOUCH_START`
* `TOP_TRANSITION_END`
* `TOP_WHEEL`

From these lists, it follows that:

* “Media events should not be listened to on top level” is generally true.
* `TOP_LOAD_START` is an exception to the previous rule: even though it’s a media event, we listen to it on the top level.
* There are three additional events (`TOP_INVALID`, `TOP_RESET`, and `TOP_SUBMIT`) that are *neither* in the media nor the top whitelist. So we should exclude them *too*.

That’s reflected in my switch structure:

```js
      switch (dependency) {
        // ... other special cases ...
        case TOP_INVALID:
        case TOP_SUBMIT:
        case TOP_RESET:
          // We listen to them on the target DOM elements.
          // Some of them bubble so we don't want them to fire twice.
          break;
        case TOP_LOAD_START:
          // Even though it's a media event, it also exists on <img>.
          // So we need to listen at top level, unlike other media events.
          trapBubbledEvent(dependency, mountAt);
          break;
        default:
          // By default, listen on the top level to all non-media events.
          const isMediaEvent = mediaEventTypes.indexOf(dependency) !== -1;
          if (!isMediaEvent) {
            trapBubbledEvent(dependency, mountAt);
          }
          break;
      }
```

Note that I’m introducing an `indexOf` lookup there. I think it’s fine because this code only runs once per event, and `indexOf` is very fast on small arrays (`mediaEventTypes` has 23 elements). So I wouldn’t expect this to regress anything. But I can turn it into an object lookup if needed.",2,4,2018-05-22T14:34:09Z,2018-05-22T18:50:37Z,2018-05-22T18:50:37Z,4346,0 days 04:16:28
[scheduler] 1/n Improve tests for 'schedule' module,12880,33,29,1,"Another bite-sized PR with some test improvements.  🍩

**what is the change?:**
Renamed some methods, and made a method to advance a frame in the test
environment.

**why make this change?:**
We often need to simulate a frame passing with some amount of idle time
or lack of idle time, and the new method makes it easier to write that
out.

**test plan:**
Run the updated tests.
Also temporarily tried breaking the scheduler and verified that the
tests will fail.

**issue:**
See internal task T29442940",1,4,2018-05-22T15:10:24Z,2018-05-24T17:27:24Z,2018-05-24T17:27:24Z,520,2 days 02:17:00
[WIP] use getCurrent time to spare extra calculation when it's sync setStat…,12883,131,12,5,"As per spec, if setState is called multiple times within the same event, at the same priority, they should receive the same expiration time.",3,3,2018-05-22T18:39:19Z,2018-06-19T17:37:46Z,,140,27 days 22:58:27
[scheduler] 2/n Adding 'schedule' fixture,12884,293,10,2,"**what is the change?:**
We need to test the `schedule` module against real live browser APIs. As
a quick solution we're writing a fixture for using in manual testing.
Later we plan on adding automated browser testing, using this or a
similar fixture as the test page.

**why make this change?:**
To further solidify test coverage for `schedule` before making further
improvements/refactors to the module.

**test plan:**
`open fixtures/schedule/index.html` and inspect the results. It should
be clear that things pass.

We also temporarily broke the scheduler and verified that this fixture
demonstrates the problems.

Example of the **edit:** latest fixture page:
<img width=""1680"" alt=""screen shot 2018-05-23 at 11 15 54 am"" src=""https://user-images.githubusercontent.com/1114467/40443591-a97b529c-5e7b-11e8-828b-af53da0aa5b6.png"">

And an example of making it fail intentionally:
<img width=""1680"" alt=""screen shot 2018-05-23 at 11 16 15 am"" src=""https://user-images.githubusercontent.com/1114467/40443602-b10ffa80-5e7b-11e8-9611-db1e620995d4.png"">

**issue:**
Internal task T29442940
",2,3,2018-05-22T20:08:05Z,2018-05-24T21:11:26Z,2018-05-24T21:11:26Z,1114,2 days 01:03:21
Added production profiling bundle type,12886,95,5,11,"Adds a new ""profiling"" target to ReactDOM (cjs) and ReactNative (oss) bundles. This is a production build (`process.env.NODE_ENV === ""production""`) but has the profiling timing flag enabled (via a new env variable `process.env.REACT_ENABLE_PROFILING`).

I don't believe that other bundles need this new build type, but it would be easy enough to add if we decided it did.

```
┌──────────────────────────────────┬──────────────────┬───────────┬───────────┐
│ Bundle                           │ Type             │ Size      │ Gzip      │
├──────────────────────────────────┼──────────────────┼───────────┼───────────┤
│ react-dom.development.js         │ NODE_DEV         │ 603.67 KB │ 140.49 KB │
├──────────────────────────────────┼──────────────────┼───────────┼───────────┤
│ react-dom.production.min.js      │ NODE_PROD        │ 92.33 KB  │ 29.41 KB  │
├──────────────────────────────────┼──────────────────┼───────────┼───────────┤
│ react-dom.profiling.min.js       │ NODE_PROFILING   │ 93.28 KB  │ 29.77 KB  │
├──────────────────────────────────┼──────────────────┼───────────┼───────────┤
│ ReactNativeRenderer-dev.js       │ RN_OSS_DEV       │ 454.67 KB │ 99.65 KB  │
├──────────────────────────────────┼──────────────────┼───────────┼───────────┤
│ ReactNativeRenderer-prod.js      │ RN_OSS_PROD      │ 193.62 KB │ 33.9 KB   │
├──────────────────────────────────┼──────────────────┼───────────┼───────────┤
│ ReactNativeRenderer-profiling.js │ RN_OSS_PROFILING │ 196.27 KB │ 34.47 KB  │
├──────────────────────────────────┼──────────────────┼───────────┼───────────┤
│ ReactFabric-dev.js               │ RN_OSS_DEV       │ 445.96 KB │ 97.5 KB   │
├──────────────────────────────────┼──────────────────┼───────────┼───────────┤
│ ReactFabric-prod.js              │ RN_OSS_PROD      │ 185.91 KB │ 32.56 KB  │
├──────────────────────────────────┼──────────────────┼───────────┼───────────┤
│ ReactFabric-profiling.js         │ RN_OSS_PROFILING │ 188.19 KB │ 33.06 KB  │
└──────────────────────────────────┴──────────────────┴───────────┴───────────┘
```",18,6,2018-05-22T20:26:29Z,2018-06-11T20:16:28Z,2018-06-11T20:16:28Z,2086,19 days 23:49:59
allow use empty value in input button,12887,50,4,2,"Close: https://github.com/facebook/react/issues/12872
",4,4,2018-05-23T04:57:14Z,2018-05-23T06:16:01Z,,55,0 days 01:18:47
"Record ""actual"" times for all Fibers within a Profiler tree",12891,128,46,8,"Move ""actual"" time tracking attributes onto the `Fiber` object and track for every `Fiber` within a `Profiler` tree. This change is being made so that DevTools has the ability to display timing info for all components in an application (or a subtree) simply by flipping the root `Fiber` and its alternate to `ProfileMode`.

This change should have no impact on the production bundle since the newly added fields are stripped out if `enableProfilerTimer` is disabled. It should have minimal impact on the dev and [production profiling](https://github.com/facebook/react/pull/12886) bundles since measurements are only recorded if `ProfileMode` is active.

### Checklist
- [x] All existing unit tests pass.
- [x] Bundle size isn't impacted for non-profiling builds. (See below.)
- [x] Reset ""actual"" time durations for all Fibers after commit- even ones that didn't update due to bailouts. (Otherwise their durations will accumulate for the next eventual re-render.)
- [x] Don't reset durations before DevTools commit hook is called. (Otherwise DevTools will be unable to read these values for profiling mode.)

### Bundle sizes
Built after rebasing on master:
![screen shot 2018-05-25 at 9 52 24 am](https://user-images.githubusercontent.com/29597/40556403-5e31b330-6001-11e8-8e56-663d84187475.png)",4,3,2018-05-23T18:13:17Z,2018-05-25T21:37:51Z,,1309,2 days 03:24:34
add functional components warning about legacy context api,12892,37,4,3,"> Looks like we're not catching functional components here. They can also have contextTypes and should also be warned about.

As is mentioned by @gaearon in the previous PR, functional components should also be warned if they have `contextTypes`. Previously it only warns in class components.

To reduce extraneous check, the logic is put into `mountIndeterminateComponent`.",0,4,2018-05-23T18:32:59Z,2018-05-23T21:16:40Z,2018-05-23T21:16:40Z,378,0 days 02:43:41
